#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
21,zukiemohamad @UC3kAUGjmfahKlPY5nXZQCRw,1.7M,0.2%,Malaysia,,519K
22,AAC Dream @UCE0rCs4o2LvINT1b0zXsOoQ,1.7M,-,Malaysia,,510K
23,Aqil Zulkiflee @UCPypMJ6WvDh0gEzZvSuaepQ,1.7M,-,Malaysia,,507K
24,Apron @UCgzJrXg7oh7lj-bMC-pzkgw,1.6M,-,Malaysia,,483K
25,Soloz Club @UCC-2ycjovzKIFCDWL667_vw,1.6M,0.1%,Malaysia,,477K
26,Mat Salleh TV @UC-O5RPLXeKJXUzNXwwqIOgw,1.6M,-,Malaysia,,477K
27,VS GAG @UCQ6OQ6CtasN4CVWp99-te4g,1.5M,4.7%,Malaysia,,462K
28,Astro AWANI @UC5dYmq91e5_g54krpO06NJw,1.5M,-,Malaysia,,459K
29,Garena Free Fire MY @UC2u849W-BNFXJUNociHYrqw,1.5M,0.1%,Malaysia,Video Gaming,456K
30,isaac osman @UC3oakjNkEifPK4okSCHojJw,1.5M,0.3%,Malaysia,,453K
31,SuriaRecordsSRC @UCBd5pENmJrvi6PQq-2ndBhw,1.5M,-,Malaysia,,447K
32,Buletin TV3 @UC2p8wkJVSjsMsRv0MjTikgA,1.5M,-,Malaysia,,435K
33,DarkTaurus @UCAxs7QxI2-EYCU0tFxP6H0A,1.5M,-,Malaysia,,435K
34,ROBE CUBE @UC1XCtbAz-xspe8CR5_DtUpg,1.4M,0.1%,Malaysia,,423K
35,ML Studios @UCSkOqbajcG6-jguycOHzhDg,1.4M,-,Malaysia,,417K
